Adequate,Effective,Ineffective
-0.166,1.142,-0.8774
-1.361,0.6245,0.4905
0.2817,1.421,-1.684
-2.953,-0.097,2.709
0.536,1.359,-1.861
-0.05795,1.06,-0.8706
-0.7954,1.049,-0.444
0.254,1.244,-1.431
-0.9937,0.8413,0.05493
-1.404,0.331,0.9355
-0.1092,1.207,-1.02
-0.9863,0.673,0.2295
-0.1228,0.9263,-0.8706
-2.426,-0.11414,2.31
-0.538,0.602,-0.02316
0.5024,1.661,-2.252
0.3965,1.162,-1.477
-0.511,0.8257,-0.4082
-2.781,0.1945,2.186
-0.649,0.72,-0.1503
-1.429,0.7056,0.629
-0.09576,1.197,-1.025
0.1465,1.205,-1.38
-0.725,0.797,-0.05695
-2.252,0.345,1.657
-1.362,0.02042,1.026
-0.5625,0.5757,-0.1588
-1.673,0.3594,1.116
-0.1703,1.121,-0.949
-2.453,0.449,1.665
-0.405,0.6206,-0.0813
-0.1537,1.043,-0.896
-2.46,0.0868,2.008
-0.03053,1.374,-1.4
-0.1755,1.026,-0.763
-0.4194,1.178,-1.012
0.3672,1.383,-1.757
0.1837,0.9844,-1.248
-3.867,0.04092,3.389
0.5312,1.706,-2.303
-0.634,1.065,-0.4922
-1.076,0.9,-0.0005417
0.7026,1.349,-1.951
-2.938,0.1874,2.428
0.6284,1.704,-2.293
0.1239,1.0205,-1.086
-1.454,0.5615,0.765
-2.723,0.4163,1.816
-2.258,0.43,1.438
-0.367,0.951,-0.511
-3.484,-0.7437,3.787
-3.639,-0.4426,3.727
-0.0932,0.7017,-0.536
-0.813,0.3906,0.1875
-0.3877,1.153,-0.775
-0.0705,0.8804,-0.863
-1.349,0.8457,0.2324
-2.418,0.5117,1.548
-0.127,1.158,-1.042
1.662,0.3896,-2.076
-2.607,0.6074,1.619
-3.875,-0.5317,4.023
-0.2942,1.035,-0.691
-2.385,0.2534,1.656
-0.1418,0.7397,-0.7197
2.434,0.1252,-2.406
0.1174,1.265,-1.381
0.6445,1.781,-2.613
-1.494,0.497,0.8228
0.2483,1.565,-1.901
0.1874,1.199,-1.275
0.079,1.516,-1.722
-1.404,0.785,0.4114
-0.04758,1.306,-1.239
0.01729,1.179,-1.123
0.7646,1.258,-2.037
0.0443,1.164,-1.359
-2.844,0.59,1.886
0.2551,1.437,-1.766
-0.3494,0.57,-0.4705
0.539,1.595,-2.135
-0.2803,0.9443,-0.8906
-3.469,0.0926,2.85
0.2168,1.244,-1.482
-0.1625,2.34,-2.473
-1.314,0.3296,0.8184
-0.2019,0.889,-0.554
-2.76,0.399,1.87
-1.6045,0.863,0.569
0.724,2.072,-2.924
-0.01654,1.156,-1.256
0.7407,1.499,-2.236
0.518,1.252,-1.609
-0.8906,0.6943,0.08344
0.108,1.559,-1.738
-0.2363,1.125,-1.046
-3.799,-0.69,4.06
0.3472,2.035,-2.521
0.6636,1.474,-2.113
-0.2585,0.8677,-0.5435
-0.253,0.7,-0.3381
-0.8086,0.8984,-0.11633
-0.694,0.6543,0.02234
-0.02702,0.8413,-0.5986
-0.206,1.038,-0.824
-0.2815,0.997,-0.6284
-0.225,1.042,-0.6816
-0.8833,0.88,-0.1771
0.014114,0.938,-0.884
-0.7603,0.8438,-0.1257
-0.7754,0.6836,0.03622
-0.4248,1.023,-0.6626
-0.00781,1.067,-1.061
-1.039,0.652,0.3015
-1.717,0.58,0.966
0.008095,0.9805,-0.8774
0.416,1.359,-1.649
-0.6816,0.915,-0.2145
-0.9146,0.918,-0.06824
-0.0466,0.976,-0.762
-2.36,0.418,1.676
-1.121,1.116,-0.2006
-0.4373,0.8906,-0.5464
-2.283,0.1752,1.87
-1.671,0.686,0.744
0.3965,1.163,-1.488
-0.2184,1.084,-0.7764
-4.047,-1.011,4.71
0.05106,0.758,-0.773
-2.04,0.4644,1.329
-2.156,0.5527,1.341
-1.365,0.5093,0.586
-0.3313,0.824,-0.4565
-0.06683,1.09,-1.018
-1.061,0.269,0.5405
-1.247,0.9883,0.13
0.1952,1.301,-1.406
-0.4485,1.121,-0.7476
-2.086,0.8525,0.825
0.4924,1.342,-1.817
-1.159,0.773,0.06235
0.1392,1.12,-1.214
-0.1023,1.233,-1.115
0.551,1.496,-1.972
-0.717,0.6616,-0.002558
-0.424,0.2502,0.0816
-0.355,0.9536,-0.532
-0.1335,1.251,-1.087
0.1459,1.198,-1.324
-1.478,0.5366,0.668
0.2856,1.341,-1.535
-0.7417,0.8115,-0.134
-2.996,-0.3123,2.99
-0.3525,1.185,-0.864
-0.5405,0.832,-0.1941
0.4114,1.294,-1.594
0.2595,1.258,-1.489
-1.622,0.05008,1.297
0.561,1.758,-2.393
-3.355,-0.05554,2.973
0.7686,-0.2947,-0.5537
0.04727,1.248,-1.307
0.04153,1.438,-1.658
-0.1477,0.887,-0.5767
-1.386,0.5312,0.6943
0.3962,1.252,-1.524
-3.14,-0.6333,3.594
-0.1017,1.146,-1.047
-2.04,-0.1688,1.962
-1.797,0.504,1.071
-1.519,0.645,0.6797
-0.2944,1.011,-0.6636
0.1388,1.041,-1.087
-0.0852,1.074,-0.949
-0.003065,1.016,-1.039
-0.01525,1.041,-1.034
-0.3186,1.016,-0.6406
-1.386,0.771,0.4468
-0.759,0.776,-0.00628
-2.182,0.2014,1.807
-0.915,0.7725,-0.01897
0.00791,1.015,-0.9204
-0.1654,1.131,-0.866
-0.1393,1.162,-1.071
-0.703,0.994,-0.4084
0.2688,1.22,-1.486
-2.174,0.12476,1.845
-1.119,0.528,0.4636
1.187,2.234,-3.477
0.1678,1.183,-1.268
0.1311,1.237,-1.369
-0.3115,1.224,-0.9023
-1.086,0.855,-0.0936
-0.2416,0.884,-0.4995
0.5854,0.4895,-1.007
-3.375,-0.3606,3.355
-0.5073,0.7266,-0.1312
-0.02998,1.399,-1.543
-0.2281,1.206,-1.08
-3.486,-0.0898,3.156
-1.121,1.194,-0.3054
-1.813,0.876,0.649
-2.521,0.3445,1.78
-1.709,0.525,0.8066
0.3245,1.2295,-1.406
-0.015495,1.185,-1.064
-1.902,0.52,1.11
0.1355,1.064,-1.067
0.204,1.187,-1.301
0.2876,0.9966,-1.19
-4.14,-0.751,4.562
-0.06235,1.345,-1.36
-0.4114,1.198,-0.905
-0.4978,0.79,-0.3535
0.839,1.571,-2.516
0.002756,1.139,-1.043
-0.00959,1.247,-1.171
0.4104,0.703,-0.9683
-0.4446,0.9395,-0.4214
-2.684,0.5005,1.878
-0.0339,0.868,-0.923
-0.385,1.243,-0.941
0.0721,0.829,-0.923
0.3428,1.12,-1.36
0.10706,1.151,-1.191
-1.233,0.595,0.3594
-2.115,0.6226,1.17
0.3286,1.013,-1.362
0.1934,1.293,-1.498
0.1443,1.238,-1.262
0.2537,1.473,-1.675
0.1908,1.23,-1.321
-1.711,0.6084,0.765
-0.174,1.081,-0.9023
-0.202,1.291,-1.273
-0.385,1.421,-1.145
-3.193,0.193,2.547
-2.621,0.53,1.72
-0.8633,1.479,-0.8286
-1.285,0.7134,0.3801
0.632,0.922,-1.473
0.838,1.783,-2.635
-1.897,0.4292,1.282
-2.893,0.1714,2.297
-0.853,0.8916,-0.2179
-2.963,-0.1066,2.535
-1.023,0.813,0.0419
-0.668,0.7793,-0.0426
-3.008,0.0406,2.557
-0.5557,0.8022,-0.2416
-0.2047,0.967,-0.6177
-0.4124,1.038,-0.766
-2.717,0.5103,1.817
-0.4841,0.8843,-0.303
-0.4158,0.996,-0.4873
0.1823,1.024,-1.149
-2.262,0.572,1.342
-1.86,0.4075,1.095
0.4722,1.427,-1.903
0.4663,1.49,-1.981
0.621,1.295,-1.914
-1.151,1.156,-0.2627
-0.3567,0.812,-0.3809
0.5107,0.9214,-1.293
-1.873,0.962,0.53
0.287,1.285,-1.563
-1.463,0.282,0.9697
0.2306,1.2295,-1.535
0.2183,1.197,-1.271
-0.1912,0.943,-0.767
-0.0225,0.936,-0.765
0.283,0.584,-0.93
0.2656,1.325,-1.4795
0.2502,1.315,-1.582
0.2484,1.376,-1.642
0.206,1.018,-1.218
-0.855,0.637,0.2052
-0.0384,1.211,-1.157
0.4612,1.427,-2.033
-3.734,-0.5576,3.904
1.155,1.927,-3.08
-1.728,0.9487,0.531
0.5464,1.094,-1.549
0.541,1.57,-2.059
0.2113,1.609,-1.849
0.5156,1.413,-1.939
0.2261,1.579,-1.786
-0.3025,1.013,-0.8105
-0.12115,0.936,-0.647
-2.818,0.3445,2.037
0.3718,1.382,-1.88
0.2786,0.5215,-0.7417
0.84,1.217,-2.025
-0.0921,1.206,-1.192
-1.393,1.255,-0.1676
-0.7495,0.991,-0.4048
0.459,1.8,-2.498
-1.508,0.491,0.743
0.4348,1.508,-2.031
-1.316,1.014,-0.1133
0.947,1.377,-2.344
-2.098,0.4368,1.362
-2.234,0.436,1.471
-3.688,-0.1372,3.24
-1.134,0.8857,-0.04913
0.2607,1.299,-1.599
-0.2102,0.944,-0.8325
0.9844,1.839,-2.896
0.1666,1.304,-1.502
-0.09204,1.218,-1.131
-0.0745,0.7847,-0.6353
-0.3752,1.134,-0.777
-1.159,0.6997,0.076
0.1807,1.212,-1.293
0.1877,1.204,-1.321
-0.3416,1.429,-1.345
-0.7324,0.848,-0.1053
-0.591,1.473,-1.103
-1.864,0.937,0.597
-1.393,0.767,0.2815
-2.451,1.049,0.9663
-0.3926,0.9795,-0.591
0.3662,0.8906,-1.275
0.655,1.788,-2.51
0.697,1.561,-2.342
1.006,1.882,-2.916
-1.904,0.501,1.081
-0.827,1.065,-0.4072
-0.3362,1.227,-0.8794
0.2081,1.35,-1.549
0.28,1.324,-1.615
0.06366,1.122,-1.128
-0.4678,0.838,-0.2952
-2.457,-0.7705,2.87
-0.2236,1.205,-1.194
0.1417,1.585,-1.804
0.05014,1.435,-1.635
0.449,1.611,-2.08
0.0691,1.151,-1.159
0.1799,1.122,-1.299
-2.795,-0.615,3.129
-1.258,0.781,0.3713
0.1368,-0.0802,-0.2004
-3.201,0.1217,2.63
-0.2242,1.165,-1.021
0.2123,1.072,-1.262
-2.596,0.2098,1.945
0.527,1.421,-2.07
-1.622,0.3254,0.983
-0.53,1.061,-0.683
-1.824,0.7397,0.7236
0.3862,1.667,-2.227
-0.0936,1.497,-1.615
-1.906,1.015,0.541
-0.8,0.941,-0.1685
0.335,1.756,-2.314
0.2327,1.172,-1.32
-3.615,0.1086,3.023
0.03253,1.1455,-1.283
-2.135,0.422,1.3545
-1.247,1.478,-0.5693
0.3845,0.9175,-1.529
-0.3965,0.884,-0.3564
-1.321,0.9194,-0.01472
-0.4587,1.215,-0.9277
-0.0644,1.318,-1.301
-2.521,0.549,1.57
0.521,1.426,-1.967
-0.3684,1.486,-1.166
-1.257,0.5146,0.3826
-1.327,0.617,0.426
-1.062,0.968,-0.07983
-0.3945,1.24,-1.108
-0.5825,1.018,-0.4856
-3.158,-0.1152,2.785
-1.924,0.6694,0.898
-0.05246,0.753,-0.4705
0.5254,1.38,-2.107
-1.98,0.2275,1.439
-0.39,0.762,-0.5664
-0.8516,1.503,-0.904
-0.38,1.55,-1.301
0.2013,1.188,-1.349
-0.2136,1.548,-1.432
0.356,1.199,-1.477
0.2476,1.571,-1.963
-0.9077,1.484,-0.811
-0.7935,0.9243,-0.1609
-3.295,-0.4404,3.398
-0.5396,0.7197,-0.11896
-0.461,0.884,-0.3782
0.1516,1.014,-1.189
-0.1786,1.178,-1.015
-0.751,0.825,-0.0626
-0.3943,0.9175,-0.4116
0.348,1.08,-1.322
-0.3972,0.78,-0.4714
0.558,1.047,-1.53
-1.824,0.5425,0.9575
-2.125,0.6455,1.049
-0.1447,0.841,-0.4724
-2.232,0.5986,1.364
-0.7217,0.784,-0.07654
-0.06192,1.024,-0.9
0.1691,1.127,-1.163
-2.684,0.4465,1.767
-2.848,0.306,2.203
0.4592,1.32,-1.762
-0.182,0.9727,-0.653
0.0669,1.095,-1.108
-1.635,0.81,0.5137
-2.152,0.4565,1.377
0.2158,1.271,-1.351
-0.5693,0.8135,-0.2732
-1.5205,0.745,0.4773
0.326,0.01466,-0.462
-0.712,0.8354,-0.3123
-1.416,0.5327,0.634
0.8765,1.664,-2.562
-1.153,0.7236,0.364
0.1876,1.287,-1.388
-0.4812,0.9346,-0.4343
-0.0343,1.069,-0.903
-0.171,1.2295,-1.162
-1.304,0.628,0.517
-1.65,0.681,0.7773
0.3284,1.171,-1.431
-0.267,0.9097,-0.542
-0.521,0.911,-0.3142
-0.452,0.9194,-0.539
-0.308,0.9116,-0.565
-2.484,0.0338,2.07
-0.3596,0.802,-0.4204
-3.445,-0.6753,3.86
-0.2322,1.051,-0.7266
-1.016,0.4663,0.488
0.2457,1.187,-1.436
-0.003426,0.947,-0.8667
0.155,1.566,-1.753
-3.018,0.12,2.29
0.1669,1.259,-1.455
1.287,1.556,-2.826
1.447,2.088,-3.53
-1.403,0.7095,0.4707
-0.2239,0.9355,-0.553
0.2024,1.249,-1.458
-0.139,1.052,-0.8896
0.5596,1.058,-1.453
-1.662,0.258,1.048
-0.02176,1.035,-0.8853
0.4949,1.116,-1.51
-0.336,0.9897,-0.635
0.4102,1.461,-1.877
-2.893,0.2766,2.14
0.3384,1.287,-1.509
0.8125,1.605,-2.467
0.4353,1.305,-1.617
-0.4253,1.051,-0.6143
-0.9346,1.503,-0.883
0.012245,1.633,-1.898
-0.1895,1.201,-0.992
-3.771,-0.0987,3.316
-1.362,0.62,0.6187
-1.339,1.307,-0.2952
-1.041,0.7856,-0.11694
-2.422,0.2074,1.857
-0.4944,1.048,-0.7446
-2.553,0.6787,1.441
-0.2576,1.167,-1.076
-1.832,0.9546,0.5527
-1.524,0.4978,0.8555
-2.79,0.376,2.03
0.4924,0.9927,-1.642
-0.3396,0.9277,-0.536
0.966,1.487,-2.484
0.836,1.521,-2.318
0.01457,1.303,-1.407
-0.9917,0.2715,0.6235
-2.336,0.9,0.955
-1.4,0.4934,0.6816
0.1532,1.255,-1.34
1.024,1.744,-2.719
0.6904,1.351,-1.907
-0.865,0.7847,0.0267
-0.7476,0.8286,-0.4268
0.491,1.214,-1.603
0.4993,1.899,-2.508
-2.404,0.2644,1.782
-1.894,0.701,0.9897
-1.375,0.2188,0.8755
0.11957,1.149,-1.185
0.0605,1.549,-1.692
-0.1904,0.7217,-0.682
0.0791,1.283,-1.405
-0.5986,1.205,-0.88
-0.537,1.205,-0.7646
0.1113,1.294,-1.445
-2.467,0.7603,1.302
-1.528,0.4907,0.882
-1.235,0.7207,0.3665
-2.893,0.3977,2.027
-3.133,0.304,2.312
-0.4177,1.375,-1.188
-0.1991,1.319,-1.227
0.7666,1.646,-2.408
-2.297,0.03394,1.86
0.04538,1.504,-1.68
-3.23,-0.03525,2.854
-3.172,0.597,2.244
-2.5,0.8086,1.392
-2.596,0.29,1.898
-0.4048,0.9614,-0.5264
1.001,2.281,-3.342
-0.1622,0.994,-0.7886
0.5303,1.4375,-2.074
-3.877,-0.808,4.285
0.2676,1.467,-1.776
1.462,2.227,-3.799
-1.611,0.3352,1.114
-0.4443,0.908,-0.6147
0.405,1.633,-2.11
-2.031,0.565,1.152
-3.512,0.1359,2.988
0.4468,1.345,-1.706
0.2668,0.88,-1.052
-2.385,0.621,1.411
-0.5137,1.009,-0.5596
0.3828,1.3545,-1.721
-1.282,1.224,-0.2747
-1.494,0.7017,0.561
-0.3496,0.65,-0.464
0.4656,1.468,-1.937
1.269,-0.1368,-1.183
-1.305,0.896,0.2361
0.859,0.8525,-1.625
-0.826,0.742,-0.2423
-0.462,0.9253,-0.4946
0.3096,1.483,-1.907
-2.936,0.2267,2.266
-0.1089,1.243,-1.283
0.06647,1.219,-1.331
0.076,1.183,-1.218
-1.722,0.6997,0.749
0.1234,1.444,-1.62
0.4658,1.54,-2.121
-4.297,-0.829,4.664
0.001884,1.303,-1.33
-3.342,-0.684,3.543
0.8,1.75,-2.71
0.9404,1.555,-2.527
0.0263,1.357,-1.448
-2.156,0.156,1.658
-0.3384,1.034,-0.7227
-0.1703,1.042,-0.852
0.3413,1.572,-2.113
-1.4795,0.6284,0.7676
-0.3691,0.82,-0.536
0.03378,1.193,-1.131
-0.455,1.093,-0.626
-0.174,1.105,-0.9316
-0.2595,1.13,-0.886
0.2312,1.477,-1.879
0.5254,1.485,-2.1
0.3232,1.258,-1.551
-1.877,0.4995,1.089
-1.909,0.5327,1.155
-0.574,1.087,-0.641
0.5205,1.497,-2.215
-0.7324,0.8774,-0.2234
-2.527,0.1912,1.914
-0.2886,1.172,-0.935
-0.1393,1.058,-0.851
-2.492,0.07587,1.984
-3.531,-0.3591,3.406
-0.678,1.738,-1.252
-1.102,0.8315,0.1311
0.2695,1.492,-1.823
-0.3904,1.129,-0.847
0.82,2.379,-3.338
-0.9404,0.773,0.1664
-0.2507,1.056,-0.751
1.798,2.123,-3.902
-1.739,0.6973,0.8633
-0.03897,0.931,-0.8315
0.1263,1.004,-0.985
-0.4556,1.084,-0.636
-3.084,0.336,2.441
0.161,1.088,-1.167
0.3225,1.119,-1.271
-0.6113,1.02,-0.469
-0.142,1.095,-1.032
0.3352,1.134,-1.406
-0.9575,0.629,0.05276
0.2443,1.384,-1.67
-1.423,0.7544,0.5093
-0.09375,0.95,-0.7734
-0.5225,1.074,-0.6245
-2.482,0.0668,2.115
-2.61,-0.0651,2.314
-0.2874,1.106,-0.848
-0.4524,1.188,-0.8735
0.3384,1.171,-1.381
0.1708,1.187,-1.261
-0.4958,0.9062,-0.3928
0.5557,0.93,-1.547
-0.0726,1.027,-0.8696
0.094,1.028,-1.004
-0.006992,1.122,-1.083
-1.312,0.678,0.513
0.0834,1.164,-1.115
0.01622,1.325,-1.364
0.4895,1.447,-1.927
0.659,1.285,-1.939
-4.156,-0.8296,4.56
-1.88,-0.1231,1.687
0.4893,1.518,-2.094
-0.6196,1.323,-0.9976
-2.342,0.517,1.45
-3.3,0.2834,2.545
-0.0899,0.735,-0.7896
0.0406,1.487,-1.581
0.08905,1.212,-1.217
0.368,1.449,-1.789
0.02765,1.353,-1.35
-0.2317,1.145,-1.053
-1.562,0.67,0.618
-1.617,0.6704,0.79
-0.7734,0.937,-0.1937
-1.603,0.4878,0.822
-1.432,0.826,0.3833
-0.951,1.086,-0.3936
-0.983,0.8535,0.02258
-0.11957,1.027,-0.8174
0.1305,1.17,-1.192
-0.329,0.4504,-0.2378
-0.915,1.439,-0.71
0.0781,1.364,-1.444
0.481,1.318,-1.772
-2.625,-0.0542,2.342
0.1892,1.385,-1.641
0.1771,1.289,-1.436
-0.001002,1.184,-1.16
-2.525,0.1123,2.066
0.01545,1.077,-0.9355
-1.619,0.8394,0.4414
0.4014,0.8384,-1.135
0.3152,1.299,-1.597
-3.494,-0.1116,3.236
-2.074,0.694,1.033
0.4185,1.118,-1.513
-0.4412,0.7246,-0.3943
-1.483,0.723,0.5806
-3.047,0.1892,2.396
-0.941,0.756,0.07367
-0.04263,0.97,-0.8525
-0.4944,1.133,-0.712
-1.542,0.4917,0.8394
0.2952,1.516,-1.892
-0.4192,1.195,-0.793
-2.67,0.119,2.18
-2.95,0.0912,2.352
-0.643,0.9614,-0.3992
-1.981,0.857,0.829
-0.2603,0.893,-0.798
-0.9297,1.168,-0.4058
0.2344,1.32,-1.584
-1.207,0.583,0.526
-0.3743,1.396,-1.21
0.6836,0.9863,-1.749
0.12463,1.284,-1.411
-2.123,0.627,1.164
-0.732,0.942,-0.3442
-3.684,-0.2316,3.568
0.333,1.568,-2.016
-1.434,0.752,0.5156
-2.19,0.3213,1.445
0.245,1.33,-1.578
-0.307,1.275,-0.9736
-3.123,0.317,2.314
-3.014,0.399,2.105
-0.919,0.649,0.1974
0.1238,1.254,-1.344
-0.644,1.08,-0.4336
0.5503,1.977,-2.69
-0.581,0.556,0.01874
-0.1621,1.089,-0.9814
0.011566,1.335,-1.47
0.775,0.3645,-1.083
0.2605,1.065,-1.2705
1.063,0.924,-1.954
-1.095,0.6157,0.2886
1.106,1.185,-2.352
-2.443,0.4424,1.611
-0.07983,1.232,-1.262
-0.475,1.023,-0.677
-1.201,1.356,-0.4348
-3.129,0.5054,2.244
-2.594,0.674,1.512
-1.985,0.491,1.112
-3.775,-0.3135,3.682
0.407,1.52,-2.0
-0.4487,0.991,-0.535
0.321,1.17,-1.344
-0.483,0.8203,-0.265
-0.8003,1.249,-0.7017
0.4688,1.507,-1.943
0.601,1.502,-2.074
-1.253,0.709,0.3438
-0.3284,1.182,-1.068
-0.02496,1.186,-1.08
0.02188,1.279,-1.35
-0.8037,1.072,-0.448
0.12,1.02,-1.127
-0.3796,1.105,-0.7417
-3.023,0.4683,2.014
-1.224,0.7856,0.214
0.1794,1.161,-1.263
-0.563,1.076,-0.5923
-0.0943,0.8525,-0.8477
0.5493,1.432,-1.923
-0.4343,1.307,-0.985
-2.172,0.2913,1.498
0.6304,1.38,-1.88
-0.513,1.172,-0.962
0.1337,1.011,-0.973
-0.757,0.564,-0.03943
-0.1913,1.307,-1.097
-3.695,-0.1703,3.494
-1.0,0.8047,0.0375
-0.2502,1.035,-0.7495
0.296,1.175,-1.406
-0.5664,1.117,-0.6367
0.2773,1.873,-2.24
-0.8564,0.9136,-0.162
0.06903,0.801,-0.938
-0.7827,1.064,-0.522
0.3015,1.186,-1.34
-1.096,1.182,-0.3699
-1.129,0.775,0.2786
-0.9526,0.71,0.1448
-1.789,0.217,1.34
0.3071,1.274,-1.517
-1.064,0.664,0.2915
-0.7344,0.4644,0.11224
-0.3738,1.829,-1.664
-1.592,0.1315,1.247
0.2012,1.105,-1.17
-2.996,-0.2238,2.99
-1.492,0.582,0.7456
-0.602,1.062,-0.536
-2.3,0.04517,2.012
-0.1991,0.7837,-0.575
-0.353,1.017,-0.631
-0.02016,1.146,-1.103
-2.049,0.7266,1.035
-0.5625,0.9272,-0.3894
0.4922,1.415,-1.876
-0.3926,1.181,-0.741
-0.8115,0.561,0.0685
-0.764,0.9614,-0.2659
0.825,0.678,-1.581
-0.2065,0.98,-0.69
-2.398,0.4346,1.633
-0.557,0.7446,-0.1405
-0.766,1.118,-0.386
0.1312,1.09,-1.153
0.328,1.201,-1.403
-1.771,0.8853,0.6094
0.1818,1.097,-1.242
-0.619,1.009,-0.4143
-1.09,0.9673,-0.1859
-0.05927,1.176,-1.085
-1.691,0.02075,1.449
-2.309,0.3015,1.603
0.781,2.26,-3.16
-1.02,0.546,0.2205
-0.5605,1.173,-0.671
-0.2366,1.122,-0.8555
0.2766,1.313,-1.622
-2.15,0.3533,1.325
0.4373,1.207,-1.685
0.2673,1.495,-1.914
-0.6704,0.7227,-0.2593
-0.501,1.203,-0.9707
0.07025,1.14,-1.19
-3.328,-0.0818,2.988
-0.2208,1.21,-0.9966
-0.4631,1.09,-0.6406
-0.0746,1.268,-1.19
-1.843,0.5537,1.087
0.946,0.3232,-1.269
0.479,1.209,-1.652
-3.264,-0.2257,3.08
-0.4524,0.885,-0.3806
0.00994,1.066,-1.223
0.2866,1.154,-1.252
0.5073,1.278,-1.675
-3.57,0.10394,2.91
-0.645,0.7437,-0.0788
-0.3635,0.6074,-0.438
-1.224,0.6797,0.4438
-0.9956,0.946,-0.04068
-0.832,0.777,-0.2369
-0.2786,0.6265,-0.347
0.2866,1.365,-1.697
-0.7285,0.8022,-0.02634
-0.591,0.8545,-0.2157
-0.02344,1.007,-1.101
-2.496,0.4556,1.638
-0.86,0.898,-0.1195
-0.07587,1.207,-1.205
0.3286,1.003,-1.2
0.444,1.27,-1.771
-0.3865,1.061,-0.6865
-3.51,-0.524,3.635
-0.4336,0.9355,-0.5347
0.0823,1.254,-1.239
-2.412,0.1927,1.972
-0.2007,1.052,-0.7603
0.0229,1.217,-1.242
-1.092,0.6206,0.3362
-0.381,1.147,-0.746
0.2249,1.124,-1.192
0.01224,1.23,-1.16
-1.592,0.5347,0.898
0.8555,0.5127,-1.262
0.158,0.98,-1.214
-0.0912,1.28,-1.228
0.0943,1.559,-1.697
-3.135,0.2198,2.52
-0.8896,0.882,-0.02695
-0.2827,0.916,-0.519
-2.89,-0.0712,2.666
-1.181,0.9707,0.06445
-0.8506,0.904,-0.283
